date,location,sku_id,sku_name,category,inventory_level,orders,stockout_flag,event
2023-01-01,Delhi,SKU001,Amul Milk 1L,Dairy,500,450,0,New Year Demand
2023-01-01,Mumbai,SKU002,Fortune Oil 1L,Edible Oil,300,320,1,New Year Demand
2023-01-01,Bangalore,SKU003,Parle-G 250g,Biscuits,800,600,0,New Year Demand
2023-01-14,Delhi,SKU004,Saffola Gold 1L,Edible Oil,200,260,1,Makar Sankranti
2023-01-26,Mumbai,SKU005,Pepsi 2L,Beverages,400,450,1,Republic Day
2023-02-14,Bangalore,SKU006,Cadbury Silk 150g,Chocolates,150,200,1,Valentines Day
2023-03-08,Delhi,SKU007,Gulal Pack,Seasonal,100,180,1,Holi
2023-04-14,Mumbai,SKU008,Amul Butter 500g,Dairy,250,240,0,Ambedkar Jayanti
2023-04-22,Bangalore,SKU009,Dates 1kg,Dry Fruits,180,220,1,Eid
2023-08-15,Delhi,SKU010,Tata Tea 1kg,Beverages,350,360,0,Independence Day
2023-09-19,Mumbai,SKU011,Modak 500g,Sweets,120,180,1,Ganesh Chaturthi
2023-10-24,Bangalore,SKU012,Soan Papdi 1kg,Sweets,200,400,1,Diwali
2023-11-12,Delhi,SKU013,Kaju Katli 500g,Sweets,150,250,1,Diwali
2023-12-25,Mumbai,SKU014,Plum Cake 1kg,Bakery,100,200,1,Christmas
2024-01-01,Bangalore,SKU015,Coca Cola 2L,Beverages,300,400,1,New Year
2024-03-25,Delhi,SKU016,Thandai 750ml,Beverages,120,180,1,Holi
2024-04-09,Mumbai,SKU017,Seviyan 500g,Grocery,150,220,1,Eid
2024-08-15,Bangalore,SKU018,Flag Pack,Seasonal,500,800,1,Independence Day
2024-10-31,Delhi,SKU019,Chocolates Combo,Chocolates,100,250,1,Halloween
2024-11-01,Mumbai,SKU020,Firecrackers Pack,Seasonal,300,700,1,Diwali
